ID,DATE1,AGE1,GENDER,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQSCORE1,DATE2,DQ1_2,DQ2_2,DQ3R_2,DQ4_2,DQ5_2,DQ6_2,DQ7_2,DQ8_2,DQ9_2,DQ10_2,DQ11_2,DQ12_2,DQ13_2,DQ14_2,DQ15_2,DQ16_2,DQ17_2,DQ18_2,DQSCORE2,TIMEDIFFDAYS
159,10-Oct-18,18,2,5,4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,86,13-Nov-18,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,86,34
160,19-Oct-18,31,2,4,2,2,4,3,5,2,2,2,3,2,4,4,2,3,4,3,3,54,27-Nov-18,5,2,1,3,3,5,3,2,1,2,3,5,4,1,2,4,3,3,52,39
161,10-Oct-18,24,2,5,4,2,2,5,5,4,4,2,4,4,5,4,2,4,5,4,2,67,13-Nov-18,5,4,2,4,5,4,4,4,4,4,3,4,4,5,5,4,4,4,73,34
162,10-Oct-18,47,2,1,1,1,1,1,1,5,4,1,1,1,4,1,1,1,1,1,1,28,13-Nov-18,2,4,1,1,2,5,5,4,4,1,4,4,1,1,1,2,5,1,48,34
163,10-Oct-18,20,1,4,4,1,3,2,4,4,2,2,1,1,4,2,3,2,5,2,1,47,15-Nov-18,4,1,1,2,2,4,5,2,1,1,1,4,4,4,2,2,2,2,44,36
164,10-Oct-18,35,1,1,2,1,4,1,5,4,2,1,1,1,2,3,3,2,2,1,1,37,13-Nov-18,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67,34
165,10-Oct-18,28,1,4,2,2,4,3,2,5,5,1,3,3,5,3,2,4,4,3,2,57,13-Nov-18,4,3,2,3,3,4,5,5,2,3,3,5,4,2,3,4,3,2,60,34
166,10-Oct-18,18,1,4,2,1,2,2,4,1,1,4,1,4,5,1,2,4,2,1,4,45,13-Nov-18,4,4,3,1,2,2,1,4,1,1,2,5,1,4,4,1,1,1,42,34
167,10-Oct-18,20,2,1,4,2,5,4,4,4,4,3,3,4,5,3,4,5,4,2,2,63,14-Nov-18,2,4,2,5,5,4,4,4,4,5,4,4,4,4,4,2,2,1,64,35
168,10-Oct-18,21,2,4,2,2,4,3,4,4,4,4,4,5,4,4,3,2,3,5,2,63,13-Nov-18,4,3,2,2,3,3,5,4,3,3,4,5,3,2,1,3,5,3,58,34
169,10-Oct-18,22,1,4,3,3,3,3,4,1,4,3,3,3,5,3,2,2,2,3,2,53,13-Nov-18,4,2,2,2,4,5,1,4,2,1,1,2,2,2,2,3,4,1,44,34
170,10-Oct-18,22,2,5,4,2,5,4,5,4,3,3,4,5,5,5,3,2,4,4,2,69,13-Nov-18,4,4,4,5,4,5,5,2,2,2,5,4,4,2,1,4,3,1,61,34
171,10-Oct-18,18,2,4,1,3,4,3,4,2,2,1,2,2,4,2,3,2,3,2,2,46,13-Nov-18,4,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,2,43,34
172,10-Oct-18,47,2,5,2,1,1,2,4,1,1,2,1,2,5,3,5,2,3,2,1,43,13-Nov-18,4,2,2,2,4,4,1,1,2,4,3,4,4,2,1,3,4,2,49,34
