ID,Gender,Age,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,D10,D11,D12,D13,D14,D15,D16,D17,D18,DQSCORE,Y_DOUBT
122,2,30,3,3,1,2,2,3,2,2,2,1,1,4,3,2,1,3,3,3,41,2
123,2,30,3,3,2,3,2,5,4,3,2,3,3,5,5,4,4,3,4,3,61,3
124,1,29,5,5,1,3,5,5,5,5,5,5,5,4,3,4,5,5,5,4,79,3
125,2,28,5,2,2,4,4,5,4,4,4,2,2,4,4,3,4,3,2,1,59,1
126,2,28,3,1,2,2,3,2,2,2,1,1,1,3,2,1,2,3,3,2,36,2
127,2,28,4,4,2,2,3,4,2,2,2,1,2,2,2,3,2,3,2,1,43,1
128,2,28,4,1,1,2,3,3,4,5,2,1,2,4,4,4,1,4,2,2,49,2
129,1,27,4,2,2,1,3,2,3,2,2,2,2,4,1,1,4,2,4,2,43,1
130,2,26,3,1,1,2,1,5,2,4,1,1,1,3,3,4,2,2,3,1,40,2
131,2,26,5,2,2,3,5,5,2,4,1,1,2,5,5,2,5,5,5,1,60,3
132,1,26,4,1,2,2,3,4,2,2,2,2,2,5,4,4,5,4,2,1,51,4
133,1,26,4,1,2,3,4,4,2,4,2,2,1,5,4,4,1,3,2,2,50,1
134,2,26,2,2,1,2,1,2,5,3,1,1,1,3,2,3,3,1,2,2,37,1
135,2,24,2,2,2,2,3,2,5,3,1,1,1,3,3,1,2,3,3,1,40,1
136,1,23,4,4,3,4,2,4,4,3,2,2,1,4,4,1,1,3,4,4,54,3
137,1,23,4,3,2,4,2,4,4,4,4,4,1,4,5,1,1,1,4,4,56,2
138,1,22,4,3,1,2,4,5,1,2,2,2,3,4,2,5,3,2,2,4,51,2
139,1,21,3,3,2,5,2,2,4,5,5,4,4,3,3,2,2,3,4,5,61,3
140,1,20,2,2,4,3,3,3,4,4,2,4,3,4,4,3,2,5,4,3,59,1
141,#NULL!,20,1,1,4,2,2,2,5,4,2,1,1,3,2,4,4,1,1,1,41,1
142,#NULL!,20,1,1,1,1,1,1,3,3,1,1,1,3,2,1,1,2,2,1,27,1
143,#NULL!,20,2,4,4,2,2,5,5,4,4,2,3,4,5,2,2,4,4,3,61,1
144,#NULL!,20,4,3,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,42,2
145,#NULL!,20,1,1,1,2,1,4,1,1,1,1,1,2,3,1,1,3,1,1,27,1
146,#NULL!,20,3,3,2,3,2,2,2,2,1,2,3,4,3,2,2,3,2,2,43,1
147,#NULL!,20,1,2,1,1,2,3,3,2,2,1,1,5,1,4,2,1,1,1,34,2
148,2,20,3,5,4,1,5,5,5,2,5,5,5,5,5,5,1,4,5,4,74,4
149,#NULL!,20,1,3,1,3,3,4,3,3,2,1,2,4,1,1,1,2,2,1,38,1
150,#NULL!,20,5,4,1,1,3,2,1,1,1,1,1,5,4,2,3,2,1,1,39,1
151,#NULL!,20,3,1,4,1,1,2,2,1,2,1,1,5,1,1,1,2,1,1,31,1
152,2,17,3,3,2,3,3,3,4,4,3,3,2,5,4,3,3,4,4,3,59,5
